time(s),lead voltage(mv)
10.492,0.2185
10.494,0.213
10.496,0.234
10.498,0.2415
10.5,0.247
10.502,0.23
10.504,0.219
10.506,0.1985
10.508,0.1895
10.51,0.191
10.512,0.181
10.514,0.1735
10.516,0.165
10.518,0.143
10.52,0.139
10.522,0.1435
10.524,0.1405
10.526,0.1435
10.528,0.134
10.53,0.1365
10.532,0.1335
10.534,0.1495
10.536,0.154
10.538,0.1665
10.54,0.164
10.542,0.185
10.544,0.202
10.546,0.207
10.548,0.22
10.55,0.2245
10.552,0.227
10.554,0.23
10.556,0.2405
10.558,0.2465
10.56,0.25
10.562,0.2695
10.564,0.261
10.566,0.247
10.568,0.253
10.57,0.251
10.572,0.244
10.574,0.2485
10.576,0.26
10.578,0.2625
10.58,0.272
10.582,0.2775
10.584,0.265
10.586,0.279
10.588,0.2785
10.59,0.2975
10.592,0.3355
10.594,0.379
10.596,0.4225
10.598,0.478
10.6,0.514
10.602,0.5455
10.604,0.542
10.606,0.516
10.608,0.463
10.61,0.3925
10.612,0.338
10.614,0.293
10.616,0.275
10.618,0.232
10.62,0.1345
10.622,0.0785
10.624,0.042
10.626,-0.0395
10.628,-0.086
10.63,-0.1125
10.632,-0.0765
10.634,-0.024
10.636,0.0035
10.638,0.1065
10.64,0.186
10.642,0.2525
10.644,0.3075
10.646,0.4315
10.648,0.494
10.65,0.575
10.652,0.6335
10.654,0.6495
10.656,0.5645
10.658,0.503
10.66,0.477
10.662,0.4665
10.664,0.474
10.666,0.48
10.668,0.473
10.67,0.471
10.672,0.478
10.674,0.4405
10.676,0.408
10.678,0.395
10.68,0.3835
10.682,0.37
10.684,0.361
10.686,0.3575
10.688,0.3465
10.69,0.337
10.692,0.3295
10.694,0.333
10.696,0.3385
10.698,0.3405
10.7,0.3405
10.702,0.342
10.704,0.335
10.706,0.3305
10.708,0.3245
10.71,0.3215
10.712,0.3155
10.714,0.3235
10.716,0.323
10.718,0.3245
10.72,0.3255
10.722,0.3315
10.724,0.3225
10.726,0.3135
10.728,0.3095
10.73,0.304
10.732,0.302
10.734,0.305
10.736,0.311
10.738,0.3185
10.74,0.3055
10.742,0.321
10.744,0.3205
10.746,0.316
10.748,0.3035
10.75,0.305
10.752,0.2915
10.754,0.294
10.756,0.307
10.758,0.3145
10.76,0.315
10.762,0.3205
10.764,0.315
10.766,0.308
10.768,0.301
10.77,0.297
10.772,0.292
10.774,0.298
10.776,0.304
10.778,0.306
10.78,0.312
10.782,0.312
10.784,0.308
10.786,0.3035
10.788,0.2955
10.79,0.288
10.792,0.285
10.794,0.289
10.796,0.291
10.798,0.2915
10.8,0.301
10.802,0.3005
10.804,0.286
10.806,0.2875
10.808,0.2805
10.81,0.276
10.812,0.2725
10.814,0.276
10.816,0.281
10.818,0.2965
10.82,0.296
10.822,0.2905
10.824,0.285
10.826,0.275
10.828,0.2695
10.83,0.2575
10.832,0.2525
10.834,0.263
10.836,0.2725
10.838,0.2715
10.84,0.2775
10.842,0.2785
10.844,0.266
10.846,0.2575
10.848,0.259
10.85,0.254
10.852,0.248
10.854,0.2555
10.856,0.2505
10.858,0.255
10.86,0.268
10.862,0.2645
10.864,0.2635
10.866,0.255
10.868,0.26
10.87,0.248
10.872,0.243
10.874,0.253
10.876,0.2645
10.878,0.264
10.88,0.2605
10.882,0.267
10.884,0.2645
10.886,0.2585
10.888,0.2565
10.89,0.256
10.892,0.248
10.894,0.2615
10.896,0.269
10.898,0.276
10.9,0.276
10.902,0.2845
10.904,0.273
10.906,0.2675
10.908,0.2635
10.91,0.2585
10.912,0.273
10.914,0.272
10.916,0.288
10.918,0.2915
10.92,0.289
10.922,0.295
10.924,0.291
10.926,0.2855
10.928,0.2795
10.93,0.2655
10.932,0.2595
10.934,0.269
10.936,0.277
10.938,0.2785
10.94,0.285
10.942,0.286
10.944,0.284
10.946,0.285
10.948,0.281
10.95,0.2705
10.952,0.2695
10.954,0.2745
10.956,0.29
10.958,0.29
10.96,0.292
10.962,0.294
10.964,0.288
10.966,0.2835
10.968,0.281
10.97,0.2805
10.972,0.2655
10.974,0.274
10.976,0.2865
10.978,0.2855
10.98,0.295
10.982,0.2905
10.984,0.288
10.986,0.292
10.988,0.276
10.99,0.275
10.992,0.2705
10.994,0.2745
10.996,0.2755
10.998,0.283
11,0.2905
11.002,0.287
11.004,0.295
11.006,0.2765
11.008,0.274
11.01,0.268
11.012,0.2665
11.014,0.272
11.016,0.277
11.018,0.283
11.02,0.286
11.022,0.2805
11.024,0.285
11.026,0.2795
11.028,0.2655
11.03,0.2635
11.032,0.2575
11.034,0.2635
11.036,0.2725
11.038,0.2795
11.04,0.278
11.042,0.2845
11.044,0.28
11.046,0.276
11.048,0.2605
11.05,0.264
11.052,0.2575
11.054,0.2605
11.056,0.2685
11.058,0.268
11.06,0.2785
11.062,0.2825
11.064,0.277
11.066,0.2665
11.068,0.265
11.07,0.251
11.072,0.251
11.074,0.259
11.076,0.2575
11.078,0.2695
11.08,0.267
11.082,0.275
11.084,0.266
11.086,0.267
11.088,0.2615
11.09,0.2505
11.092,0.25
11.094,0.2635
11.096,0.2585
11.098,0.268
11.1,0.2655
11.102,0.2675
11.104,0.259
11.106,0.26
11.108,0.258
11.11,0.25
11.112,0.25
11.114,0.2545
11.116,0.2585
11.118,0.2645
11.12,0.2685
11.122,0.2745
11.124,0.2635
11.126,0.26
11.128,0.2575
11.13,0.25
11.132,0.2465
11.134,0.2425
11.136,0.2555
11.138,0.261
11.14,0.273
11.142,0.2835
11.144,0.2935
11.146,0.293
11.148,0.2785
11.15,0.2875
11.152,0.2835
11.154,0.279
11.156,0.255
11.158,0.25
11.16,0.246
11.162,0.247
11.164,0.245
11.166,0.241
11.168,0.218
11.17,0.2015
11.172,0.1935
11.174,0.1835
11.176,0.2055
11.178,0.189
11.18,0.1845
11.182,0.1715
11.184,0.1465
11.186,0.1275
11.188,0.127
11.19,0.127
11.192,0.1285
11.194,0.141
11.196,0.145
11.198,0.1555
11.2,0.168
11.202,0.1785
11.204,0.1635
11.206,0.168
11.208,0.1725
11.21,0.189
11.212,0.212
11.214,0.2195
11.216,0.232
11.218,0.252
11.22,0.2505
11.222,0.257
11.224,0.2615
11.226,0.255
11.228,0.2515
11.23,0.2535
11.232,0.245
11.234,0.256
11.236,0.2575
11.238,0.263
11.24,0.2695
11.242,0.273
11.244,0.2665
11.246,0.2685
11.248,0.2635
11.25,0.2645
11.252,0.2735
11.254,0.301
11.256,0.326
11.258,0.378
11.26,0.411
11.262,0.4605
11.264,0.498
11.266,0.5265
11.268,0.5335
11.27,0.522
11.272,0.4825
11.274,0.4355
11.276,0.374
